item_name,Price,Category,Code
Blonde roast 125 Gms,375,veg,BLR125
VIA Christmas Blend,1000,veg,VICB
250G Christmas Blend,2000,veg,CHB250
250G Voyage Blend,1700,veg,VOB250
250G Diwali Blend,1100,veg,DIB250
Guatemala Casi Cielo Retail Coffee Pack,2000,veg,GUCP
Blonde Roast - 250 Grams,750,veg,BLR250
Espresso Roast - 250 Grams,580,veg,ESR250
India Estates Blend,1100,veg,IEB
Italian Roast,1100,veg,ITR
Kenya,1100,veg,KEN
Sumatra,1100,veg,SUM
Via - Columbia,650,veg,VIAC
Via - Italian Roast,650,veg,VIAIR
Espresso Roast - 125 Grams,290,veg,ESR125
