item_name,Price,Category,Code
Mug Cherry Blossom with Lid 236 ml,2250,Merchandise,MCBL236
Mug Island Cherry Blossom 414 ml,1850,Merchandise,MICB414
Tumbler Pink Ridges 473 ml,1400,Merchandise,TPR473
Cold Cup Green Pleated 473 ml,1700,Merchandise,CCGP473
Mug Siren Embossed in White 414 ml,1850,Merchandise,MSEW414
Reu Cup Peanuts Joe Kind 473 ml,550,Merchandise,RCPJK473
Mug Peanuts Friends 414 ml,2150,Merchandise,MPF414
Cup Sleeve Peanuts Joe Kind,1350,Merchandise,CSPJK
Iconic Siren Demi Ceramic Mug (89 Ml),600,Merchandise,ISDCM89
Mumbai Been There Ceramic Cup (414 Ml),750,Merchandise,MBTCC414
India Been There Ceramic Cup (414 Ml),750,Merchandise,IBTCC414
Bean To Cup Ceramic Mug (400 Ml),550,Merchandise,BTCCM400
White And Green Siren Ceramic Mug (295 Ml),850,Merchandise,WAGSCM295
Signature Matte Green Ceramic Mug (237 Ml),700,Merchandise,SMGCM237
Debossed Siren Black Ceramic Mug (355 Ml),950,Merchandise,DSBCM355
Classic Black Demi Ceramic Mug (89 Ml),500,Merchandise,CBDCM89
Matte Black Siren Ceramic Mug (444 Ml),1000,Merchandise,MBSCM444
Delhi Been There Ceramic Cup (414 Ml),750,Merchandise,DBTCC414
Dark Siren Mug - 414ml,2250,Merchandise,DSM414
Recycled Ceramic Navy Mug - 473ml,1350,Merchandise,RCNM473
Starbucks India Mug - 355 ml,900,Merchandise,SIM355
MUG HOLIDAY CARNIVAL TREE 295 ML,2800,Merchandise,MHCT295
MUG CARNIVAL NIGHT 414 ML,2300,Merchandise,MCN414
MUG HOLIDAY CIRCUS 473 ML,2000,Merchandise,MHC473
MUG CARNIVAL DRUM 88 ML,1050,Merchandise,MCD88
8 OZ Dark Pink Otter Mug,1600,Merchandise,8OZDPM
8 OZ Light Pink Otter Mug,1600,Merchandise,8OZLPM
MUG 14OZ CERAMIC FLORAL,2600,Merchandise,MCF14OZ
MUG 10OZ OTTER CUDDLE W LID,2500,Merchandise,MOCL10OZ
Mint Green Hot Reusable Cup (473 Ml),350,Merchandise,MGHRC473
HOLIDAY HCUP REU FY25 473 ML,350,Merchandise,HDFY25 473
HOLIDAY CCUP REU FY25 473 ML,375,Merchandise,HDFY25 473
HOLIDAY REU CCUP COL CHNG FY25 709 ML,700,Merchandise,HRCFY25709
CCUP CARNIVAL FERISS 473 ML,2600,Merchandise,CCF473
CCUP GLINDA 709 ML,3850,Merchandise,CG7709
CCUP ELPHABA 709 ML,3850,Merchandise,CE7709
CCUP EMERALD CITY 709 ML,2700,Merchandise,CEC709
CCUP 24 GRADIENT W STRAW,3200,Merchandise,C24GS
CCUP 16OZ GLASS OTTER,2850,Merchandise,C16OZG
CCUP 24 OZ LAVENDAR,1800,Merchandise,C24OZL
CCUP 24 OZ PINK,1800,Merchandise,C24OZP
Green Siren Stainless Steel Tumbler (473 Ml),2600,Merchandise,GSSST473
India Been There Stainless Steel Cup (355 Ml),1800,Merchandise,IBTSSC355
New Greens Tumbler - 355 ml,2990,Merchandise,NGT355
New Greens Light Tumbler - 355 ml,2990,Merchandise,NGLT355
New Greens Dark Tumbler - 355ml,2490,Merchandise,NGDT355
Texa Navy Tumbler - 458ml,1800,Merchandise,TNT458
TMBL CARNVL CIRCUS 355 ML,2700,Merchandise,TCC355
TMBL CARNIVAL FRIENDS 355 ML,1900,Merchandise,TCF355
Wordmark Green Stainless Steel Water Bottle,2500,Merchandise,WGSSWB
New Greens Water Bottle - 355 ml,2300,Merchandise,NGWB355
New Greens Water Bottle - 590 ml,2990,Merchandise,NGWB590
Starbucks Bottle-Green,900,Merchandise,SBOTTLEG
Starbucks Bearista Pen,300,Merchandise,SBEARISTAP
Starbucks Bearista Keychain,350,Merchandise,SBEARISTAKC
