item_name,Calories Per Serve,Serving Size,Price,Category,Code
Festive Indulgence Dry Fruit and Nut Fudge - Small,0,15 g,950,Veg,FIDF15
Festive Indulgence Dry Fruit and Nut Fudge - Large,0,15 g,1550,Veg,FIDFL15
Coffee Choco Barks,145 kcal,25 g,350,Veg,CCB25
Coffee Choco Barks with Christmas Spice,145 kcal,25 g,390,Veg,CCBCS25
Almond Biscotti,409 kcal,50 g,160,Non-Veg,ALB50
Coated Chocolate Salted Almond - 50 Gms,585 kcal,50 g,175,Veg,CCSA50
Coated Hazelnut Chocolate Bites - 50 Gms,599 kcal,50 g,185,Veg,CHCB50
Roasted & Salted Almonds,630.2 kcal,50 g,180,Veg,RSA50
Roasted & Salted Cashews,606.2 kcal,50 g,180,Veg,RSC50
Cranberry Coated Nuts,500.6 kcal,100 g,185,Veg,CCN100
Cranberry Biscotti,343.7 kcal,100 g,170,Non-Veg,CRB100
Chocolate Biscotti,376.6 kcal,100 g,170,Non-Veg,CHB100
